filename,file_key,md5Checksum
2020 sales - Shannon O.csv,1bz6hlmwRy4lID1sw4D_zu2o-fFijY9Dd,0f582e1babaafa11318203d6ab666771
2022 Districts Monthly Transfer Dataset.csv,1nmcMvO1Wmp-GeAsO8q2KiX8-Yob1l7SV,73226e30b732aabaee60deffcaad26fe
2023 Inventory - Elisabeth Gracyalny.csv,1ltEs5M8PoZhraXukZrP3v0SzuIiSY1ra,db44212f5bc1b534faf62e851ce491b3
2023-12-21_transactions_export - Bailey Talley.csv,1DUNtj1NdB3oLdOxtt7tDErzVIi6IIjuY,d2c9174cf716dca06ec08461e98d0e22
2201_VoucherCheker.csv,11_uDT8bXTL23K_Ss8IPUQrsjnqt4_qIt,f4de32c1c7d65f2702e76423cba3f651
2_Debits_and_Credits_Purchases.csv,1vsPd2K04VJAkvfhqLZT_2gBww5prhbdR,b19ce41e7c74cd9de6fc95a882803ab4
ABM_WAGES.csv,15FSnoEpkKvomVfPfLSRAoiC3QixZKDti,3f2757862a0423cb4aec300753e4f912
Accounting - Jake Chase.csv,13-ABAZMZbLqnu72e37YlRVuD3mMbup5B,20997259d2a308bfa8771f27a64700de
AccumulatorReadingsReport.csv,16iD1JqVZCRvQh5FNZVu-V_dxJ-MvdsRA,5730b62ca085cb0697014ae610a0d66e
Art Gallery Spending Log 2017 - Erica Redling.csv,1JunS9iyzimtuv6nMBfDOQD2hKRk64yws,d7848dd2500a6f6fc8e23ecce46e02f5
BUILDING EXPENSES.csv,1GVzaGvR2in-eqIiaF8ehPFD5G6SEPHP5,985a200282748229317e0df51293f42f
Bank_accreditations.csv,1hBOkN3bkAjcTgpQN1WdXZz_F6aHitfe_,99700c812e0e51ef76a904379902d09e
Bill_A2.csv,1IiBYImGStDJmMdVotN784lOdvGj55fDX,f56acbf2685ec12728dacc234826f841
Blueprint_budget.csv,15suK5tLk1XS5cLTDf81-bI3yJt-6tumw,1018a23c12a90a6b73544f9954ecffb2
Bold21 Data set - orders_export_1.csv,1vfYJ7OtkJppAgmzE5rWSDYgcMxsuaevL,29a23eb00ad8ce63b3669344fa21bb7b
Bookshop Sales and Inventory Dataset.csv,1KuVGoiXsg2-4z6GAyIC-c-aFCB2Ypn_3,fb924b0e53d40ce0ea9c93ae33259c97
BranchTransac.csv,1IfP9ktWDnZ5f9cCF6sBLXIehIck5uj1r,0fac3a531cef94f10e9bfa9eb1b0327b
BurguerhouseJuly21.csv,1jQkWSo69g0WLWdh6eN_YwUxDskfd3nKZ,aa02026aee0cc8e66135a5ba6eb27ce7
