Cost Code,Concept,Group,Stage,Quantity,Unit,Unit Cost,Total,Markup %
01010,LP - Utilities - Storm sewer onsite,1,15,Lot,1,$0.00,$0.00,15
01020,LP - Utilities - Domestic water onsite,1,2,Lot,1,$0.00,$0.00,15
01030,LP - Utilities - Sanitary Sewer,1,2,Lot,1,$0.00,$0.00,15
01040,LP - Utilities - Gas Lines,1,1,Lot,1,$0.00,$0.00,15
01050,LP - Utilities - Electric meter Rack,1,1,Lot,1,$0.00,$0.00,15
01100,LP - work in public row,1,1,Lot,1,$0.00,$0.00,15
01110,LP - Concrete paving and sidewalk,1,2,Lot,1,$0.00,$0.00,15
01120,LP - Head wall,1,2,Lot,1,$0.00,$0.00,15
01200,LP - Lot clearing - Cut trees,1,1,Lot,1,$0.00,$0.00,15
01210,LP - Lot clearing - Debris Haul off,1,1,Lot,1,$0.00,$0.00,15
01220,LP - Lot clearing - Slab demolition,1,1,Lot,1,$0.00,$0.00,15
01230,LP - Fill dirt/Pad compactation,1,1,Lot,1,$0.00,$0.00,15
02000,Survey - Lot survey ,2,4,Lot,1,$0.00,$0.00,0
02100,Survey - Lot staking-pins,2,4,Lot,1,$150.00,$150.00,0
02110,Survey - Form staking-pins (Envelope),2,4,Lot,1,$300.00,$300.00,0
02120,Survey - Form Survey,2,4,Lot,1,$350.00,$350.00,0
03000,P - Site work - Sewer Tap,3,3,Lot,1,$0.00,$0.00,15
03010,P - Site work - Water Tap,3,3,Lot,1,$0.00,$0.00,15
03020,P - Site work - Storm Water,3,3,Lot,1,$0.00,$0.00,15
03100,P - Plumbing - Underground,3,3,Lot,1,"$2,700.00","$2,700.00",15
03110,P - Plumbing - Rough,3,9,Lot,1,"$4,500.00","$4,500.00",15
03120,P - Plumbing - Trim,3,12,Lot,1,"$1,800.00","$1,800.00",15
03130,P - Pumbing - Temp Gas ,3,15,Lot,1,$250.00,$250.00,15
03200,P - Fixtures - Bathroom Sink Faucet ,3,15,Lot,1,$790.80,$790.80,15
03210,P - Fixtures - Shower trim,3,15,Lot,1,$106.38,$106.38,15
03220,P - Fixtures - Tub/shower trim,3,15,Lot,1,$150.13,$150.13,15
03230,P - Fixtures - standing tub faucet,3,15,Lot,1,$97.81,$97.81,15
03240,P - Fixtures - tub spout,3,15,Lot,1,$89.96,$89.96,15
03250,P - Fixtures - kitchen faucet,3,15,Lot,1,$339.90,$339.90,15
03260,P - Fixtures - freestanding tub,3,15,Lot,1,"$1,048.94","$1,048.94",15
03270,P - Fixtures - toilet,3,15,Lot,1,$0.00,$0.00,15
03280,P - Fixtures - shower drain,3,15,Lot,1,$67.75,$67.75,15
03290,P - Fixtures - tub drain ,3,15,Lot,1,$29.22,$29.22,15
03300,P - Fixtures - disposal,3,15,Lot,1,$105.31,$105.31,15
03310,P - Fixtures - Disposal pneumatic button,3,15,Lot,1,$48.49,$48.49,15
03320,P - Fixtures - Sink Pedestal,3,15,Lot,1,$132.72,$132.72,15
03330,P - Fixtures - Pedestal,3,15,Lot,1,$122.72,$122.72,15
03400,P - Hardware - Towel handler small,3,15,Lot,1,$145.28,$145.28,15
03410,P - Hardware - Towel handler large,3,15,Lot,1,$85.38,$85.38,15
03420,P - Hardware - Toilet paper holder,3,15,Lot,1,$117.24,$117.24,15
03430,P - Hardware - hook,3,15,Lot,1,$48.40,$48.40,15
04000,Slab - Foundation (turn key),4,5,Lot,1,"$16,058.00","$16,058.00",15
04100,Driveway - Exterior Driveway (ROW),4,15,Lot,1,$0.00,$0.00,15
04110,Driveway - Interior Driveway,4,15,Lot,1,"$1,800.00","$1,800.00",15
04200,Walkway - Exterior Walkway (ROW),4,15,Lot,1,$0.00,$0.00,15
04210,Walkway - Interior Walkway-Flat work,4,5,Lot,1,$432.00,$432.00,15
04300,Stamped Concrete,4,5,Lot,1,$0.00,$0.00,15
